galaxy,R_R25,SigmaHI_Msun_pc2,e_SigmaHI_Msun_pc2,SigmaSFR_Msun_yr_kpc2,e_SigmaSFR_stat_Msun_yr_kpc2,e_SigmaSFR_Msun_yr_kpc2
NGC3198,1.8199168847160228,2.291557288276228,0.1359964073289608,2.7061567022766628e-05,4.5755885281416575e-06,1.428349091821688e-05
NGC3198,1.897337232568878,2.402807363821265,0.12652759858353568,2.457666081717417e-05,3.216533280818892e-06,1.2702328549412568e-05
NGC3198,1.9679852239495152,2.390184207288506,0.12936505581969326,2.039281240668146e-05,2.686322088528826e-06,1.0544336196595932e-05
NGC3521,1.0520240110820378,6.424556269739013,0.4392762677261044,8.635241935591244e-05,1.1245101843027404e-05,4.461655967928162e-05
NGC3521,1.112051716176697,6.117884972498305,0.4186226360348684,7.246540419711953e-05,1.066052658854614e-05,3.7768446201929946e-05
NGC3521,1.1722333384639063,5.448469320624652,0.3274467144584059,6.400429972921263e-05,1.0645403817957189e-05,3.372628379178619e-05
NGC3521,1.232414960751116,4.765457219663559,0.23282614409642255,5.918644051863006e-05,9.487798622493128e-06,3.107695300407226e-05
NGC3521,1.292442665845775,4.0505718469678715,0.16451180571125468,5.0231990990577665e-05,7.65432929381996e-06,2.6256465616255347e-05
NGC3521,1.3526242881329844,3.3813098319720236,0.14994096608398522,3.825425412325411e-05,5.286550212855335e-06,1.984425868569211e-05
NGC3521,1.4126519932276436,2.869743872543017,0.16815157216719312,2.9529863393835056e-05,3.3176269235049178e-06,1.5133071612141556e-05
NGC3521,1.472833615514853,2.452124314376826,0.17504502931757493,2.3001952690909108e-05,2.2262283352665206e-06,1.1714458993032872e-05
NGC3521,1.532861320609512,2.1000141557086565,0.17494854350215094,1.7930597891191586e-05,1.6679381108278258e-06,9.119133880224203e-06
NGC3521,1.5930429428967217,1.8161441945791421,0.1824725231861002,1.4878152970202862e-05,1.936025643653433e-06,7.686875453919672e-06
NGC3521,1.653224565183931,1.5321247126260973,0.16521870793809046,1.1528285037182132e-05,1.5955518567289145e-06,5.980896647003729e-06
NGC3521,1.7132522702785902,1.3240226811326585,0.1547284070599132,9.366312151765114e-06,1.3588066351775568e-06,4.876300472989566e-06
NGC3521,1.773279975373249,1.1835936169731438,0.15579616960576803,7.949261748124692e-06,1.0643020997469427e-06,4.114660319464458e-06
NGC3521,1.8334615976604587,1.0151633908762268,0.14039620481693266,6.675899712129884e-06,8.24774588391584e-07,3.4383371509001953e-06
NGC3521,1.893643219947668,0.8480693594806018,0.11847434779317317,5.518614597261171e-06,7.02569168049699e-07,2.8473461686577673e-06
NGC3521,1.9536709250423272,0.690063233552443,0.09595435947230974,5.141751827683928e-06,6.424946179349753e-07,2.649943829300569e-06
NGC5055,1.0001539171925504,1.6271886582704425,0.14902799522455856,3.30583402849671e-05,3.470713497754242e-06,1.6889621599747674e-05
NGC5055,1.042635062336463,1.5379000270557552,0.12011347077165291,2.702087114289435e-05,2.755514644920975e-06,1.378857245289008e-05
NGC5055,1.085270124672926,1.4104133343660943,0.10272845785556195,2.431911197592716e-05,2.805388917740602e-06,1.2478982683063662e-05
NGC5055,1.1277512698168386,1.120331134118607,0.08419184847812544,1.96990119859098e-05,2.0384987210907985e-06,1.0058242656704168e-05
NGC5055,1.1703863321533015,0.9681612859110043,0.08429801084751859,1.643184291506274e-05,1.9078985122008972e-06,8.434538643528927e-06
NGC5055,1.2128674772972141,0.9047653244774712,0.07679353703489439,1.5980662191823466e-05,2.115553350550337e-06,8.265649218380777e-06
NGC5055,1.255502539633677,0.852548224432816,0.06599404802752451,1.3966836179100248e-05,2.0246980905257236e-06,7.271006159482635e-06
NGC5055,1.2979836847775896,0.8094125514266706,0.06017191294584173,1.2466703596600786e-05,2.1906623396007987e-06,6.607092865059488e-06
NGC5055,1.3406187471140527,0.7356422544596414,0.0541344041111097,1.0037694806317424e-05,1.8153584594828577e-06,5.337073691884807e-06
NGC5055,1.3830998922579651,0.6645826813301732,0.04594069446826127,7.284811199746402e-06,1.136629357688556e-06,3.815631645055265e-06
NGC5055,1.4257349545944282,0.6304827410488876,0.04453249282084726,6.448773510165334e-06,9.258359890187784e-07,3.354674682426734e-06
NGC5055,1.4682160997383407,0.6458485947292377,0.04464566079848081,6.74660008296753e-06,9.076751826518505e-07,3.4932831844951306e-06
NGC5055,1.5108511620748037,0.6797558301987454,0.04951049912331523,7.047567038305574e-06,1.1721743285107e-06,3.7136293496083195e-06
NGC5055,1.5533323072187164,0.7312271154469754,0.058211076636673076,8.455205803922965e-06,2.1776579931983034e-06,4.755504245820165e-06
NGC5055,1.5959673695551793,0.7736812848316518,0.06217303586130718,9.068100817096777e-06,2.909920156723662e-06,5.3875085545885185e-06
NGC5055,1.638448514699092,0.8167544385405193,0.06497077542702762,9.109134699877209e-06,2.8173621470855198e-06,5.355521749835126e-06
NGC5055,1.6810835770355548,0.905446397407095,0.07543117174473801,9.969946100990293e-06,2.8101661312800556e-06,5.722498580127076e-06
NGC5055,1.7235647221794674,0.9240304320176025,0.07489421022991383,8.859018751032109e-06,2.7645967060296596e-06,5.221450780652315e-06
NGC5055,1.7661997845159305,0.893265153038049,0.06511057833383005,5.432094545952699e-06,1.7390515163037266e-06,3.225091156138157e-06
NGC5055,1.808680929659843,0.862874654332956,0.0609010413866094,3.700842932530578e-06,9.155858937681146e-07,2.064547682104373e-06
NGC5055,1.851315991996306,0.8366600257648602,0.05783590770156577,3.098678155814085e-06,7.075721599110124e-07,1.7032644949657643e-06
NGC5055,1.8937971371402185,0.810021846414841,0.055384894851916666,3.453307836070009e-06,1.0496732246718286e-06,2.0206799922943234e-06
NGC5055,1.9364321994766815,0.7690378451660783,0.05485651506016992,4.171204073137307e-06,1.1500823768251687e-06,2.3816853966095405e-06
NGC5055,1.9789133446205942,0.732879678705364,0.052277303886795246,4.572257899889837e-06,1.2981013879546442e-06,2.628964204622427e-06
NGC7331,1.0143142989071878,3.948255315746703,0.3907506624003154,8.192165035469885e-05,1.2359856161741446e-05,4.278498853042175e-05
NGC7331,1.069108819455133,3.1527737828244438,0.3497290970844753,5.192296413283927e-05,8.479678591536696e-06,2.731123395419537e-05
NGC7331,1.1239033400030785,2.388386320892293,0.27033077877016387,3.3762249313593905e-05,5.687432337624014e-06,1.7813457167921375e-05
NGC7331,1.1786978605510237,1.9000199889970242,0.2036159819669635,2.1953474686017318e-05,3.47230840164759e-06,1.151284883656314e-05
NGC7331,1.233646298291519,1.5069698906230191,0.16930535083633236,1.4833438319521117e-05,1.9971658042919208e-06,7.680911036107134e-06
NGC7331,1.2884408188394643,1.179148838265361,0.1429085467030412,9.24030432017603e-06,1.3941226988665315e-06,4.825907591516942e-06
NGC7331,1.3432353393874095,0.8746414707015758,0.10476712778385777,6.400429972921263e-06,1.0974582999937142e-06,3.3831628219452153e-06
NGC7331,1.3980298599353547,0.6285878945862029,0.06462328449000626,4.476930909467822e-06,8.387482688351576e-07,2.390444780895612e-06
NGC7331,1.4528243804833,0.46033277321639043,0.04971536062787815,2.8014677087401615e-06,6.814738952633061e-07,1.5577104996448494e-06
NGC7331,1.5076189010312453,0.3532150627731122,0.045765429828670795,2.286390078038131e-06,6.439656679401829e-07,1.3120924810101797e-06
NGC7331,1.5625673387717407,0.3186162881706186,0.05526856059529833,2.2286363803772744e-06,6.8761783365259e-07,1.3093980732162242e-06
NGC7331,1.617361859319686,0.29730527468961865,0.06793970832162612,2.3175690355613496e-06,6.372546253275236e-07,1.3224503832467641e-06
NGC7331,1.672156379867631,0.23228067098160962,0.05286574758959359,2.1334622724458353e-06,6.279317295320038e-07,1.2378261485121771e-06
NGC7331,1.7269509004155765,0.1558872003832209,0.030896571344357693,1.6431842915062738e-06,5.405237303416942e-07,9.83452874837297e-07
NGC7331,1.781899338156072,0.10822154393946956,0.01996462379513609,1.2485479581626838e-06,3.831385199832214e-07,7.324705635402593e-07
NGC7331,1.8366938587040171,0.08094125514266702,0.014172848215462115,1.2589254117941661e-06,3.9923243864932133e-07,7.453924055054236e-07
NGC7331,1.8914883792519623,0.06201313114319642,0.011533473416539968,1.4136008491700153e-06,4.7536256426912013e-07,8.517842495033942e-07
NGC7331,1.9462828997999075,0.04687216703642867,0.010240817966650943,1.96990119859098e-06,7.29032954284923e-07,1.225404721504674e-06
NGC7331,1.9869170386332153,0.03548133892335755,0.01169825280330159,2.3937840412412344e-06,1.4112739717991413e-06,1.850471489243492e-06
NGC7793,1.0266276743112206,3.0823992397451434,0.17146902760919192,0.0001188055150188178,2.2168711950433654e-05,6.340456915130751e-05
